cattle-id,price,age,color,breed,weight
BLF1089,91000,2.5 years,Red,Local,219 kg
BLF1112,124000,2.5 years,Red,Local,300 kg
BLFH1016,129000,3 years,Red,Local,319 kg
BLF1220,105000,3 years,Red,Local,255 kg
BLF978,125000,2.5 years,Non Red,Local,310 kg
BLFS236,177000,3 years,Non Red,Holstein Friesian Cross,446 kg
BLF952,95000,2.5 years,Red,Local,230 kg
BLF1278,86000,2.5 years,Red,Local,208 kg
BLFB381,279000,3.5 years,Non Red,Holstein Friesian Cross,620 kg
BLF1232,85000,2.5 years,Non Red,Local,210 kg
BLFS246,144000,2.5 years,Non Red,Holstein Friesian Cross,363 kg
BLF1217,104000,3 years,Red,Local,253 kg
BLF956,95000,2.5 years,Non Red,Local,232 kg
BLF1045,95000,2.5 years,Non Red,Local,232 kg
BLF1049,118000,2.5 years,Red,Sindhi,285 kg
BLF1021,139000,2.5 years,Red,Red Chittagong,332 kg
BLF1180,116000,3 years,Red,Local,282 kg
BLF1027,86000,3 years,Red,Local,206 kg
BLFS214,171000,2.5 years,Non Red,Holstein Friesian Cross,430 kg
BLF969,109000,2.5 years,Red,Local,263 kg
BLF932,87000,3 years,Non Red,Local,214 kg
BLF1210,98000,2.5 years,Non Red,Local,241 kg
BLFB378,432000,4 years,Non Red,Holstein Friesian Cross,960 kg
BLF870,125000,2.5 years,Red,Local,288 kg
BLFB168,130000,3 years,Red,Local,314 kg
BLF880,120000,2.5 years,Red,Sahiwal,290 kg
BLF1226,93000,2.5 years,Non Red,Local,230 kg
BLF1103,96000,3 years,Red,Local,230 kg
BLF1087,110000,2.5 years,Red,Sahiwal,266 kg
BLF1274,109000,2.5 years,Red,Red Chittagong,262 kg
BLF1347,95000,2.5 years,Red,Local,230 kg
BLF1275,92000,2.5 years,Red,Local,222 kg
BLF920,119000,3 years,Cross Non Red,Holstein Friesian Cross,294 kg
BLF1205,85000,2.5 years,Non Red,Local,210 kg
BLF1121,72000,2.5 years,Red,Local,173 kg
BLF1176,100000,3 years,Red,Local,246 kg
BLF887,122000,2.5 years,Red,Local,300 kg
BLF869,122000,3 years,Red,Local,295 kg
BLF1320,87000,2.5 years,Non Red,Pabna Breed,214 kg
BLF1351,79000,3 years,Red,Local,190 kg
BLF1064,117000,2.5 years,Red,Sahiwal,280 kg
BLF1291,97000,2.5 years,Red,Local,235 kg
BLF958,99000,2.5 years,Non Red,Local,243 kg
BLF1115,100000,2.5 years,Red,Local,242 kg
BLF1202,93000,3 years,Non Red,Local,230 kg
BLF1137,117000,3 years,Red,Local,282 kg
BLF996,98000,2.5 years,Non Red,Local,242 kg
BLF1355,94000,2.5 years,Red,Local,226 kg
BLF937,102000,3 years,Red,Local,250 kg
BLF1140,113000,2.5 years,Red,Local,273 kg
BLF1321,115000,3 years,Red,Local,278 kg
BLF1247,85000,2.5 years,Non Red,Local,209 kg
BLF883,125000,2.5 years,Red,Sahiwal,302 kg
BLF1030,99000,2.5 years,Non Red,Local,246 kg
BLF1096,112000,2.5 years,Red,Red Chittagong,266 kg
BLF1326,108000,2.5 years,Red,Sahiwal,260 kg
BLF1333,78000,3 years,Non Red,Local,192 kg
BLF1062,99000,3 years,Red,Local,239 kg
BLF1256,105000,2.5 years,Red,Sahiwal,255 kg
BLF852,215000,3 years,Red,Sahiwal,464 kg
BLF915,122000,2.5 years,Non Red,Local,300 kg
BLF940,121000,2.5 years,Red,Sahiwal,293 kg
BLF1215,86000,2.5 years,Non Red,Local,212 kg
BLF1238,119000,2.5 years,Red,Local,288 kg
BLF923,119000,2.5 years,Red,Local,284 kg
BLF1131,94000,2.5 years,Red,Local,226 kg
BLF1329,94000,2.5 years,Red,Local,225 kg
BLF955,70000,2.5 years,Non Red,Local,167 kg
BLF1286,102000,2.5 years,Red,Local,248 kg
BLF994,92000,2.5 years,Non Red,Local,228 kg
BLF913,109000,2.5 years,Non Red,Local,268 kg
BLF1318,90000,2.5 years,Non Red,Local,222 kg
BLF1152,98000,2.5 years,Red,Local,236 kg
BLF1258,88000,2.5 years,Red,Sindhi,212 kg
BLF861,96000,2.5 years,Red,Red Chittagong,230 kg
BLF945,108000,2.5 years,Red,Local,260 kg
BLF1184,99000,2.5 years,Red,Local,239 kg
BLF972,94000,3 years,Non Red,Local,232 kg
BLF1301,78000,2.5 years,Red,Local,187 kg
BLF934,94000,2.5 years,Non Red,Local,230 kg
BLF971,97000,3 years,Non Red,Local,238 kg
BLF1219,113000,2.5 years,Red,Sahiwal,280 kg
BLF867,137000,2.5 years,Non Red,Local,314 kg
BLF1026,91000,3 years,Non Red,Local,223 kg
BLF1003,119000,3 years,Red,Local,285 kg
BLF1263,97000,2.5 years,Red,Local,234 kg
